index,n,slope_per_decade,slope_lo,slope_hi,intercept,tau,p_value,significant,first_year,last_year,mean,total_change
tmean,28,0.061291666666667265,-0.16999999999999926,0.3909523809523817,7.964197916666549,0.07936507936507936,0.566685952792318,False,1991,2025,19.96039285714286,0.2083916666666687
tmax_mean,28,-0.4137500000000005,-0.8904347826086965,0.22000000000000242,107.6513125000001,-0.1746031746031746,0.19908116182657798,False,1991,2025,24.595464285714293,-1.4067500000000017
tmin_mean,28,0.21132518796992433,-0.003333333333334447,0.4607142857142854,-24.976531484962308,0.2619047619047619,0.05280442745222835,False,1991,2025,17.14278571428571,0.7185056390977427
dtr,28,-0.6780555555555555,-0.8273333333333337,-0.4561290322580644,143.32765277777776,-0.6031746031746031,7.300634532469985e-06,True,1991,2025,7.451714285714286,-2.3053888888888885
gdd10,23,57.57142857142851,-50.750000000000455,149.53333333333316,-7876.442857142845,0.07509881422924901,0.6345102928818573,False,1991,2025,3651.8521739130438,195.74285714285693
gdd10_doy100,25,1.4285714285714284,-3.1818181818181817,6.5,-261.4285714285714,0.10666666666666667,0.4668679059070435,False,1991,2025,31.0,4.857142857142857
gdd10_doy200,25,0.0,-6.25,5.5,50.0,0.0,1.0,False,1991,2025,55.76,0.0
warm_season_start_doy,28,-3.682266009852216,-11.071428571428573,2.7777777777777777,854.7149014778324,-0.14814814814814814,0.27658403247655783,False,1991,2025,110.21428571428571,-12.519704433497536
warm_season_end_doy,28,7.759197324414716,0.0,15.0,-1257.6588628762543,0.2698412698412698,0.04571560783246231,True,1991,2025,298.17857142857144,26.381270903010034
warm_season_length,28,11.268115942028984,-2.413793103448276,22.142857142857146,-2074.5742753623185,0.22486772486772486,0.09680986300748318,False,1991,2025,187.96428571428572,38.31159420289855
chill_days_tmin10,28,-1.2698412698412698,-6.315789473684211,4.375,288.92063492063494,-0.037037037037037035,0.7970737676191901,False,1991,2025,34.642857142857146,-4.317460317460317
cold_days_tmean12,28,-0.8193979933110368,-7.272727272727273,3.75,193.99414715719064,-0.05026455026455026,0.7218668731450446,False,1991,2025,32.464285714285715,-2.7859531772575252
last_cold_day_doy,25,-0.7151979565772669,-7.5,7.142857142857143,227.397190293742,-0.03,0.8516662755196436,False,1991,2025,82.32,-2.4316730523627075
summer_days_tmax30,28,-6.181818181818182,-16.666666666666668,5.7142857142857135,1340.0,-0.15079365079365079,0.26828812805713564,False,1991,2025,103.0,-21.018181818181816
hot_nights_tmin25,28,0.0,0.0,0.625,0.0,0.20105820105820105,0.09817100336252937,False,1991,2025,1.1071428571428572,0.0
precp_total,23,80.0,-285.0,456.31578947368416,-13035.0,0.043478260869565216,0.7916993472718743,False,1991,2025,3382.586956521739,272.0
precp_wet_season,24,-52.702398800599696,-365.17241379310343,187.85714285714283,12459.62143928036,-0.07246376811594203,0.6374381847429542,False,1990,2025,2089.3958333333335,-184.45839580209895
precp_dry_season,23,43.4375,-193.75,285.5,-7550.90625,0.1067193675889328,0.4922895298178107,False,1991,2025,1496.4565217391305,147.6875
rain_days_01,23,0.0,-6.0,4.166666666666667,192.0,-0.007905138339920948,0.978888199554256,False,1991,2025,190.2608695652174,0.0
rain_days_1,23,-0.7142857142857142,-6.956521739130435,4.583333333333333,309.42857142857144,-0.03557312252964427,0.8324354821893343,False,1991,2025,166.7391304347826,-2.4285714285714284
rain_days_10,23,1.4285714285714284,-2.7777777777777777,7.083333333333334,-209.85714285714283,0.07114624505928854,0.6525784425761629,False,1991,2025,79.17391304347827,4.857142857142857
rain_days_50,23,1.3333333333333333,-1.4285714285714284,3.8461538461538463,-252.73333333333335,0.1422924901185771,0.35355525310996394,False,1991,2025,16.043478260869566,4.533333333333333
sdii,23,0.6981818181818188,-1.4749999999999996,2.685714285714284,-120.62690909090922,0.09090909090909091,0.5612202073936174,False,1991,2025,20.04560869565217,2.3738181818181836
rx1day,28,5.902777777777777,-36.08695652173913,32.0,-1006.2326388888887,0.04497354497354497,0.7518764972958689,False,1991,2025,229.83928571428572,20.069444444444443
rx5day,28,27.888888888888886,-43.0,92.0,-5229.444444444444,0.10582010582010581,0.44100082890033687,False,1991,2025,424.8392857142857,94.82222222222222
max_dry_spell,23,-0.37037037037037035,-2.0,1.25,88.37037037037037,-0.08695652173913043,0.5752642392727352,False,1991,2025,14.521739130434783,-1.259259259259259
sunshine_total,9,284.95204741379314,-15.33333333333303,440.9999999999991,-55241.00878232759,0.5,0.07633274037635718,False,1991,2025,2198.7888888888892,968.8369612068967
sunshine_daily_mean,11,0.8100000000000005,0.06857142857142863,1.0086206896551724,-157.1680000000001,0.5272727272727272,0.02927250918630464,True,1990,2025,5.885454545454547,2.8350000000000017
ws_mean,28,-0.13369528619528617,-0.4186666666666667,-0.04576923076923076,28.1763287037037,-0.3201058201058201,0.01772826767060587,True,1991,2025,1.455357142857143,-0.454563973063973
tsoil0_mean,8,1.7133333333333374,0.25750000000000384,2.759999999999998,-325.4868333333341,0.7142857142857143,0.018741136789596657,True,2018,2025,20.861375000000002,1.199333333333336
